Date,SPY,AEX,RDSA.AS,HSI,bonds
2010-01-01,,,,,
2010-01-04,0.0007079943710395108,-0.0,-0.0,-0.00011089988938890682,-4.5230989394640095e-05
2010-01-05,-0.0020089450326991943,0.0008833132109895003,-6.71920566618689e-05,-0.0022621532971008637,-0.0009563703068938834
2010-01-06,0.0005823405832173111,0.00047363725339645275,7.134668995343762e-05,-0.00034190168596986536,0.0007394880671728887
2010-01-07,-0.0030759396077468357,0.0008170520939188352,3.0134694008930873e-05,9.180277317798912e-05,-0.0013279438095077812
2010-01-08,0.0009453412801178284,-0.0012245027440280997,5.812601947366769e-05,0.0004601107956659578,-0.0005191549375180182
2010-01-11,0.0016548018921609842,0.0012458443740969382,-3.2741629990939994e-05,0.0001636201493448952,-0.000922180138444939
2010-01-12,0.0020862745309198406,0.003303770810220408,0.00013053644600762748,0.00010876203274268524,-0.000811265971252273
2010-01-13,-0.001548465812471611,-0.0012560534264697497,7.085480301827763e-05,0.0026253660274405378,0.00041019567795193
2010-01-14,-0.0013094306235320152,-0.0021556503002035485,7.136677768975197e-06,1.9625870445304505e-05,0.0006106260591423274
2010-01-15,0.0011220737639353827,0.0023076203545383976,2.6183480135466565e-05,-0.00039599782871014845,-0.0012067491033090905
2010-01-18,-0.002480309031084915,-0.0009231118449991803,-6.205210311808873e-05,0.0009364306739952932,-0.0006473772522678666
2010-01-19,-0.0035773995777608645,-0.0022829719330635266,-0.00014705857071364292,-0.0017072589770299527,0.001064742735598101
2010-01-20,-0.0005413297116435345,0.004663210491164904,4.675010611243424e-05,0.0006076229478694983,-0.0012685201935823231
2010-01-21,0.005490559930811511,0.003684187792278548,0.00012682031289475205,0.0017712567989110171,0.0004803351725844673
2010-01-22,0.0076013565410469885,0.0024294809880468504,0.00016650826538895826,0.0008435721783782745,-0.0004933298517712625
2010-01-25,-0.0013464241804832966,0.0008832109885505201,4.83794780360991e-05,0.0005738653510721359,-0.00030924680786350575
2010-01-26,-0.0001800995791332527,-0.0010410496760868027,-6.076810979800396e-05,0.0017898226863737841,-0.0006922169929318933
2010-01-27,-0.002530798344081231,0.0021750197255668733,0.00011113773647160152,1.7340982686357976e-05,-0.0010016198260234031
2010-01-28,0.002106030272121717,0.0030342823380383743,0.00018079689053245309,-0.0019612879250599114,0.0007995705651488661
2010-01-29,0.0010969255587799042,-0.003657954814579911,-4.97638143253254e-05,0.0003509360718894161,0.0013818773351170766
2010-02-01,-0.0033513079947724567,-0.0031198570224912235,-3.466189446992951e-05,-0.00011565922591686872,-0.002507220998739812
2010-02-02,-0.002561184050174292,-0.0024720150370760585,-8.882324727220059e-05,0.00017585173902786466,-5.1636483367478725e-05
2010-02-03,-0.0001197370184976787,0.0009070857440322544,2.4455484376065816e-05,-0.002496650809116383,0.00026520098360319764
2010-02-04,0.005957776494173716,0.0088280225465184,0.00022064268342203097,0.0006985505532517543,-0.0012316670887728253
