Date,SPY,AEX,RDSA.AS,HSI,USDEUR,HKDEUR,YIELDS
2010-01-01,,,,,,,
2010-01-04,-0.0,-0.0,-0.0,-0.0,0.0007088311144803128,-0.00011083161888012061,-4.522757999999999e-05
2010-01-05,-0.0007930796570833287,0.0008846161729403335,-6.69673241588864e-05,-0.0018623978734583879,-0.001209168820996359,-0.00037179335393350055,-0.0009551527439999928
2010-01-06,-0.00021114234796986152,0.000474011534469021,7.160242457569854e-05,-0.0005520876864335733,0.000794048864599406,0.00021083378685529563,0.0007406631839999934
2010-01-07,-0.0012637228525675503,0.0008181667417532345,3.018019042243747e-05,0.0005930213441970977,-0.0017965547134079162,-0.0005011717183269226,-0.0013254408599999907
2010-01-08,-0.0009966714444316516,-0.0012220105117656031,5.829560866963401e-05,-0.00011026610583456886,0.0019435053111646005,0.0005715570473377208,-0.0005188646040000016
2010-01-11,-0.00041867514858058287,0.0012484384387081882,-3.268814598598624e-05,-0.0004620747172910633,0.002078057842499015,0.0006258437779955717,-0.0009210585119999975
2010-01-12,0.0028110008944915777,0.0033220969825317856,0.00013139592191653283,0.00034150312402267955,-0.0007174383196415834,-0.00023267532062150485,-0.000810427079999997
2010-01-13,-0.002523229499177404,-0.0012534312925500223,7.110701524310148e-05,0.002360811835650338,0.0009787462324582718,0.0003036074689786261,0.00041062838399998964
2010-01-14,-0.0008102750849678486,-0.0021479424874814687,7.139225589725129e-06,0.00013107096247539474,-0.0004963061459189178,-0.00011144295185899989,0.0006114676320000028
2010-01-15,0.0033863095262761434,0.0023165413172515415,2.621781882058194e-05,0.0002605891181661946,-0.0022621320993384485,-0.0006557183035044911,-0.00120471670800001
2010-01-18,-0.0027984138767416233,-0.0009216945258888387,-6.18603726860023e-05,0.0008105758873191427,0.00032830190158198433,0.00013076052515646362,-0.0006468815159999841
2010-01-19,-0.0009270337037180276,-0.0022743291511324593,-0.00014598774505975243,-0.0009095245342136237,-0.0026292042915509795,-0.0007817433926476802,0.001067008572000013
2010-01-20,0.0030661935868410593,0.004699833048555746,4.685972651798487e-05,0.001641551223186255,-0.0036070354887816954,-0.0010318678538250436,-0.0012662550840000343
2010-01-21,0.0058249158518975715,0.0037069967899740594,0.0001276313468174628,0.0018086515726248285,-0.00028349059770088614,-1.9732933021279208e-05,0.000480895896000016
2010-01-22,0.0067632158783042405,0.002439371719232586,0.00016791009841610638,0.0005907432070290674,0.0009360999590773689,0.00025680726115799856,-0.0004930751760000041
2010-01-25,-0.0015343833873745715,0.0008845136486486105,4.8496885558222406e-05,0.0005559207745043615,0.0001909716270542594,1.9781954721178605e-05,-0.0003091764839999953
2010-01-26,0.0012598131439983894,-0.0010392475366514553,-6.05842162544068e-05,0.002163314928541027,-0.0014398586849937612,-0.0003554556847562562,-0.0006916368840000137
2010-01-27,-0.001423761750278718,0.002182942560855139,0.00011175993053934352,0.0003419520056636571,-0.001096421351673188,-0.00032460935215333997,-0.0010002724199999905
2010-01-28,0.0034615827117230324,0.0030497313790547763,0.00018245123669212494,-0.0014408477259102704,-0.0013481253875755439,-0.00049937540080911,0.0008009212440000062
2010-01-29,0.003278418373882097,-0.0036358333976535206,-4.9640401727280015e-05,0.00104225258294667,-0.002179482503777219,-0.0006906305265386248,0.0013855494839999916
2010-02-01,-0.004629331477618237,-0.003103746110361971,-3.4601960578402034e-05,-0.0005429560849699477,0.001296604010645963,0.00042737111242519,-0.002497626011999992
2010-02-02,-0.003609229804911429,-0.002461885878312575,-8.843108928171084e-05,-0.00012630450860555696,0.001058916699254958,0.0003023282708267416,-5.1634895999986696e-05
2010-02-03,0.0014985601969245365,0.00090845985550283,2.4485436755163902e-05,-0.0019755283371301145,-0.001618273326855657,-0.0004871206085935453,0.00026542195200000157
2010-02-04,0.009405679027667624,0.008960518270974216,0.00022311325157915008,0.001667677934374847,-0.0033879489488426117,-0.0009664023108094399,-0.0012295444080000282
2010-02-05,-0.0006194311381392481,0.007699360828959989,8.559975693290589e-05,0.0030443012466680485,-0.0014192301252746397,-0.0004219521120735425,-0.0014134322879999902
2010-02-08,0.002173627748558715,-0.001387079871037411,-0.00011563705994802387,0.0005241272696946985,-0.0005576282692558886,-0.00015294862080246662,0.0003591952680000168
2010-02-09,-0.0037445988318228094,-0.0005303343392133896,2.7530187795643537e-05,-0.0010953027797178372,0.0027861681569650186,0.0008155337959047414,0.0004685205959999909
2010-02-10,0.0005881505347826276,0.000909715255367427,0.0001566090972909473,-0.0005980369030211996,-0.0006278209438334237,-0.0002214089419840848,0.00016452861600000659
2010-02-11,-0.003123562066467045,-0.0006635948632769839,-0.0002240495037924717,-0.0016493765565569873,-0.0015637792227671586,-0.00042203491047927423,0.0005578547279999949
2010-02-12,0.00024979324749718756,0.0010054686701155724,9.253509667489723e-05,9.763464074531214e-05,-0.0010284763489615655,-0.0003152378215624285,-0.00035437712400001117
2010-02-15,-0.003519621830332298,-0.00011399156738720605,-2.2587574953898404e-05,-0.000704106983264463,-0.0007027436797446551,-0.00020954678884453235,0.0004700937480000065
2010-02-16,-0.0011640905995155214,-0.0028171101025344925,-0.00011713559991644474,-0.00023348351021427403,0.0035963626458784537,0.0010622720766596848,-0.0001260492360000011
2010-02-17,-0.001418196111443848,-0.004009600820333503,-5.6825240019615645e-05,-0.0002328793599828316,-0.0035106565162774384,-0.0010717840594987483,-8.499128399999759e-05
2010-02-18,-0.0017633586298132719,-0.0010842724590986563,-7.119237413457214e-05,0.0004916168285288336,-0.003223783176509076,-0.0009556948860075964,0.0005923023359999744
