Date,SPY,AEX,HSI,RSDS.AS,USDEUR,HKDEUR,EURIBOR
2010-01-01,113.33000183105469,343.0299987792969,21823.279296875,21.579999923706055,0.6949300169944763,0.08927000313997269,0.369
2010-01-04,113.33000183105469,343.0299987792969,21823.279296875,21.579999923706055,0.6932899951934814,0.08938000351190567,0.369
2010-01-05,113.62999725341797,342.0199890136719,22279.580078125,21.725000381469727,0.6960899829864502,0.08974999934434891,0.371
2010-01-06,113.70999908447266,341.4800109863281,22416.669921875,21.56999969482422,0.6942499876022339,0.08953999727964401,0.367
2010-01-07,114.19000244140625,340.54998779296875,22269.44921875,21.5049991607666,0.698419988155365,0.09003999829292297,0.365
2010-01-08,114.56999969482422,341.94000244140625,22296.75,21.3799991607666,0.6939100027084351,0.08946999907493591,0.362
2010-01-11,114.7300033569336,340.5199890136719,22411.51953125,21.450000762939453,0.6891199946403503,0.0888499990105629,0.361
2010-01-12,113.66000366210938,336.7699890136719,22326.640625,21.170000076293945,0.6907699704170227,0.08907999843358994,0.359
2010-01-13,114.62000274658203,338.17999267578125,21748.599609375,21.020000457763672,0.6885200142860413,0.0887800008058548,0.357
2010-01-14,114.93000030517578,340.6099853515625,21716.94921875,21.0049991607666,0.6896600127220154,0.08889000117778778,0.356
2010-01-15,113.63999938964844,337.989990234375,21654.16015625,20.950000762939453,0.6948800086975098,0.08953999727964401,0.357
2010-01-18,114.70499801635742,339.0299987792969,21460.009765625,21.079999923706055,0.6941199898719788,0.08940999954938889,0.354
2010-01-19,115.05999755859375,341.6099853515625,21677.98046875,21.389999389648438,0.7002300024032593,0.09019000083208084,0.352
2010-01-20,113.88999938964844,336.29998779296875,21286.169921875,21.290000915527344,0.7087000012397766,0.09122999757528305,0.349
2010-01-21,111.69999694824219,332.1700134277344,20862.669921875,21.020000457763672,0.7093700170516968,0.09125000238418579,0.35
2010-01-22,109.20999908447266,329.4800109863281,20726.1796875,20.670000076293945,0.7071599960327148,0.09098999947309494,0.348
2010-01-25,109.7699966430664,328.510009765625,20598.55078125,20.56999969482422,0.7067099809646606,0.0909700021147728,0.347
2010-01-26,109.30999755859375,329.6499938964844,20109.330078125,20.69499969482422,0.7101100087165833,0.09132999926805496,0.346
2010-01-27,109.83000183105469,327.260009765625,20033.0703125,20.46500015258789,0.7127100229263306,0.09166000038385391,0.345
2010-01-28,108.56999969482422,323.95001220703125,20356.369140625,20.094999313354492,0.7159199714660645,0.09217000007629395,0.344
2010-01-29,107.38999938964844,327.8999938964844,20121.990234375,20.19499969482422,0.7211400270462036,0.0928800031542778,0.344
2010-02-01,109.05999755859375,331.30999755859375,20243.75,20.264999389648438,0.7180299758911133,0.09244000166654587,0.347
2010-02-02,110.37999725341797,334.0400085449219,20272.1796875,20.44499969482422,0.715499997138977,0.09212999790906906,0.348
2010-02-03,109.83000183105469,333.0299987792969,20722.080078125,20.395000457763672,0.7193700075149536,0.09262999892234802,0.347
2010-02-04,106.44000244140625,323.2300109863281,20341.640625,19.94499969482422,0.7275400161743164,0.09363000094890594,0.347
2010-02-05,106.66000366210938,315.0400085449219,19665.080078125,19.774999618530273,0.7309899926185608,0.09407000243663788,0.348
2010-02-08,105.88999938964844,316.5,19550.890625,20.0049991607666,0.7323499917984009,0.09423000365495682,0.344
2010-02-09,107.22000122070312,317.05999755859375,19790.279296875,19.950000762939453,0.7255799770355225,0.09337999671697617,0.344
2010-02-10,107.01000213623047,316.1000061035156,19922.220703125,19.639999389648438,0.7271000146865845,0.0936100035905838,0.345
2010-02-11,108.12999725341797,316.79998779296875,20290.689453125,20.084999084472656,0.73089998960495,0.09404999762773514,0.344
2010-02-12,108.04000091552734,315.739990234375,20268.689453125,19.899999618530273,0.7334100008010864,0.09437999874353409,0.344
2010-02-15,109.31499862670898,315.8599853515625,20427.881640625,19.94499969482422,0.7351300120353699,0.09459999948740005,0.343
2010-02-16,109.73999786376953,318.8399963378906,20480.945703125,20.18000030517578,0.7263699769973755,0.09348999708890915,0.343
2010-02-17,110.26000213623047,323.1300048828125,20534.009765625,20.295000076293945,0.7349200248718262,0.09460999816656113,0.343
2010-02-18,110.91000366210938,324.29998779296875,20422.150390625,20.440000534057617,0.7428600192070007,0.09561999887228012,0.344
2010-02-19,111.13999938964844,325.6000061035156,19894.01953125,20.489999771118164,0.7344800233840942,0.09458000212907791,0.345
2010-02-22,111.16000366210938,325.1199951171875,20377.26953125,20.399999618530273,0.7349900007247925,0.09470000118017197,0.344
2010-02-23,109.80999755859375,320.989990234375,20623.0,20.2450008392334,0.7392600178718567,0.09522999823093414,0.344
2010-02-24,110.81999969482422,320.9200134277344,20467.740234375,20.350000381469727,0.7383800148963928,0.09509000182151794,0.344
2010-02-25,110.66999816894531,314.8500061035156,20399.5703125,19.920000076293945,0.7387700080871582,0.09516000002622604,0.343
2010-02-26,110.73999786376953,317.739990234375,20608.69921875,20.014999389648438,0.7336199879646301,0.09448999911546707,0.341
2010-03-01,111.88999938964844,324.3699951171875,21056.9296875,20.434999465942383,0.7373499870300293,0.09494999796152115,0.344
2010-03-02,112.19999694824219,328.239990234375,20906.109375,20.559999465942383,0.7341799736022949,0.09455999732017517,0.343
2010-03-03,112.30000305175781,331.8599853515625,20876.7890625,20.65999984741211,0.7298399806022644,0.09401000291109085,0.343
2010-03-04,112.63999938964844,332.45001220703125,20575.779296875,20.690000534057617,0.7361599802970886,0.0948299989104271,0.343
2010-03-05,114.25,338.67999267578125,20787.970703125,20.885000228881836,0.7337300181388855,0.09455999732017517,0.344
