Date,AAPL,AMZN,HD,INTC,MA,MSFT,PEP,PG,T,V
2012-01-03,50.857234954833984,179.02999877929688,35.08424758911133,19.025110244750977,32.629364013671875,21.95963478088379,52.16688537597656,51.265830993652344,19.2003116607666,24.176237106323242
2012-01-04,51.130558013916016,177.50999450683594,35.58378982543945,19.467018127441406,31.55579948425293,22.476425170898438,52.43399429321289,51.2428092956543,19.231914520263672,23.74431610107422
2012-01-05,51.69821548461914,177.61000061035156,35.87519073486328,19.69184112548828,31.34766960144043,22.70610809326172,52.025489807128906,51.02800750732422,19.212955474853516,23.922719955444336
2012-01-06,52.238651275634766,182.61000061035156,35.966773986816406,19.57554817199707,30.50350570678711,23.058841705322266,51.373374938964844,50.9052848815918,19.03339195251465,23.641033172607422
2012-01-09,52.155792236328125,178.55999755859375,35.99175262451172,19.746109008789062,30.761474609375,22.755325317382812,51.6405029296875,51.120059967041016,19.02056312561035,23.450878143310547
2012-01-10,52.34253692626953,179.33999633789062,36.241512298583984,19.839141845703125,31.029211044311523,22.837360382080078,51.58551025390625,50.882259368896484,19.084699630737305,23.427410125732422
2012-01-11,52.25719451904297,178.89999389648438,36.183231353759766,20.001949310302734,30.37452507019043,22.738924026489258,51.07483673095703,50.38364028930664,19.23219108581543,23.26543617248535
2012-01-12,52.113746643066406,175.92999267578125,36.12495040893555,19.963180541992188,30.537309646606445,22.96860694885254,50.7684440612793,50.48335647583008,19.3155574798584,23.788915634155273
2012-01-13,51.91834259033203,178.4199981689453,36.224853515625,19.490270614624023,30.16193389892578,23.173683166503906,50.595611572265625,50.48335647583008,19.283496856689453,23.648069381713867
2012-01-17,52.52309799194336,181.66000366210938,36.416351318359375,19.412744522094727,30.774805068969727,23.181888580322266,50.7920036315918,50.828575134277344,19.398927688598633,24.068256378173828
2012-01-18,53.06848907470703,189.44000244140625,37.3654670715332,19.684083938598633,31.34499168395996,23.157276153564453,50.94913101196289,51.05666732788086,19.450227737426758,24.3616943359375
2012-01-19,52.90030288696289,194.4499969482422,37.80674362182617,19.870153427124023,31.39124870300293,23.06704330444336,51.78192138671875,51.09532928466797,19.507946014404297,24.03070068359375
2012-01-20,51.97893524169922,190.92999267578125,37.05741882324219,20.45160484313965,30.302480697631836,24.371335983276367,52.072608947753906,51.21131896972656,19.56566047668457,23.610511779785156
2012-01-23,52.858245849609375,186.08999633789062,37.3654670715332,20.707443237304688,30.16014862060547,24.38773536682129,51.931190490722656,50.26023864746094,19.495119094848633,23.38046646118164
2012-01-24,51.992549896240234,187.0,37.43207931518555,20.85474395751953,30.482162475585938,24.06781578063965,52.0097541809082,49.87362289428711,19.29631805419922,23.711442947387695
2012-01-25,55.238914489746094,187.8000030517578,37.681846618652344,20.85474395751953,31.023874282836914,24.248291015625,52.40258026123047,50.244773864746094,19.373268127441406,23.605812072753906
2012-01-26,54.987857818603516,193.32000732421875,37.42375183105469,20.738452911376953,30.940258026123047,24.199068069458008,52.26116943359375,50.10559844970703,18.885902404785156,23.676237106323242
2012-01-27,55.315582275390625,195.3699951171875,37.35714340209961,20.722951889038086,31.025650024414062,23.97758674621582,51.70336151123047,49.71897888183594,18.699926376342773,23.72083854675293
2012-01-30,56.02422332763672,192.14999389648438,37.273895263671875,20.73069953918457,31.30851173400879,24.289302825927734,51.38909149169922,48.87615203857422,18.815357208251953,23.446191787719727
2012-01-31,56.4533576965332,194.44000244140625,36.9575080871582,20.482614517211914,31.628753662109375,24.223676681518555,51.59337615966797,48.74470138549805,18.860248565673828,23.624597549438477
2012-02-01,56.417503356933594,179.4600067138672,37.02411651611328,20.583398818969727,31.81110191345215,24.518993377685547,52.15117645263672,48.87615203857422,18.98208999633789,24.063568115234375
2012-02-02,56.2851676940918,181.72000122070312,37.01579284667969,20.536882400512695,33.941524505615234,24.56821060180664,52.16688537597656,48.961204528808594,19.103933334350586,24.89690399169922
2012-02-03,56.84911346435547,187.67999267578125,37.6069221496582,20.896352767944336,34.71984100341797,24.806102752685547,52.371158599853516,48.53592300415039,19.206541061401367,25.124605178833008
2012-02-06,57.379661560058594,183.13999938964844,37.63188934326172,20.880725860595703,34.80791473388672,24.773284912109375,52.26116943359375,49.108123779296875,19.21936798095703,25.202075958251953
2012-02-07,57.98069381713867,184.19000244140625,37.84836196899414,20.818212509155273,34.950233459472656,24.896329879760742,52.449729919433594,49.25503158569336,19.264257431030273,25.112873077392578
2012-02-08,58.951499938964844,185.47999572753906,37.6069221496582,20.982318878173828,35.12813186645508,25.15062713623047,52.43399429321289,49.20864486694336,19.25143051147461,25.43446922302246
2012-02-09,60.990882873535156,184.97999572753906,37.69017791748047,20.990137100219727,35.26066970825195,25.24085807800293,50.493465423583984,49.517921447753906,19.23219108581543,26.38987922668457
2012-02-10,61.02176284790039,185.5399932861328,37.74013137817383,20.86509895324707,35.23754119873047,25.019378662109375,50.2420539855957,49.39421081542969,19.136001586914062,26.737295150756836
2012-02-13,62.157066345214844,191.58999633789062,38.23965835571289,20.86509895324707,35.28291320800781,25.084999084472656,50.037784576416016,49.66484069824219,19.264257431030273,26.457950592041016
2012-02-14,63.00544738769531,191.3000030517578,38.34790802001953,20.9276180267334,35.185062408447266,24.9776554107666,49.90422439575195,49.85816955566406,19.283496856689453,27.051849365234375
2012-02-15,61.5473747253418,184.47000122070312,38.056488037109375,20.771320343017578,34.954673767089844,24.812519073486328,49.550689697265625,49.91229248046875,19.155237197875977,27.07066535949707
